Brand,Model,Storage,CPU Model,OS,Rating,Review Count,Graphics,Price ($),Screen_size(Inches),Ram(GB)
Dell,Dell Latitude 7420 Laptop,256 GB,Intel Core i5,Windows 11,4.0,48.0,Intel Iris Xe Graphics,214.99,14.0,16
Lenovo,Lenovo V14 G4 IRU,1 TB,Core i7,Windows 11 Pro,5.0,7.0,Intel UHD Graphics,659.0,14.0,16
NIMO,Nimo N151,128 GB,Pentium Other,Windows 11,4.4,194.0,Integrated Graphics,249.98,15.6,8
Lenovo,Yoga,1 TB,Others,Windows 11 Pro,4.2,53.0,Intel Graphics,750.0,16.0,16
Lenovo,Thinkpad E580,256 GB,Core i3,Windows 10 Pro,0.0,0.0,NO GRAPHIC CARD,3479.0,15.6,16
ASUS,ROG Strix SCAR 18,2 TB,Intel Core Ultra 9,Windows 11 Pro,4.6,8.0,NO GRAPHIC CARD,449.99,18.0,32
HP,HP,256 GB,Core i3,Windows 11 Home,3.3,5.0,NO GRAPHIC CARD,248.99,15.6,8
MSI,Prestige 16Evo A13M-408US,1 TB,Core i9,Windows 11 Pro,3.9,21.0,Intel Iris Xe Graphics,914.17,16.0,32
NIMO,Nimo N156L,1 TB,Intel Core i5,Windows 11,4.9,23.0,INTEL Integrated Graphics,399.98,15.6,16
Lenovo,V14,256 GB,Ryzen 5,Windows 11 Pro,4.1,15.0,Integrated AMD Radeon 610M Graphics,334.99,14.0,8
HP,ENVY 2-in-1,512 GB,Core i5,Windows 11,4.4,48.0,Intel Iris Xe Graphics,438.0,14.0,8
MSI,B13VF-2829US,512 GB,Intel Core i5,Windows 11 Home,0.0,0.0,NO GRAPHIC CARD,799.0,15.0,16
HP,ELITEBOOK,512 GB,Intel Core i5-1135G7,Windows 10 Pro,0.0,0.0,Intel Core i5-1135G7,332.0,14.0,16
acer,Acer Chromebook Plus 514,128 GB,Intel Core i3,Chrome OS,4.3,468.0,Intel UHD Graphics,1233.47,14.0,8
ASUS,TUF Gaming A16,1 TB,Ryzen 9,Windows 11 Home,4.4,26.0,Intel HD Graphics,159.99,16.0,16
HP,14-dq0760dx,128 GB,Celeron N,Windows 11 Home,4.4,40.0,Intel HD Graphics 4400,449.97,14.0,4
HP,TPN-C151,512 GB,Core i5 Family,Windows 11 Home,4.2,21.0,Intel Iris Xe Graphics,239.99,15.6,16
Dell,Latitude 5420,1 TB,Core i5,Windows 11 Pro,5.0,1.0,Intel Iris Xe Graphics,1499.0,14.0,32
Dell,Dell Inspiron 15 3525 Laptop,512 GB,Ryzen 5,Windows 11 Home,4.0,334.0,AMD Radeon,86.69,15.6,8
